feature,importance
merchant_risk_score,0.06333562052509702
velocity_score,0.060804931476995235
account_balance_usd,0.04538456245121114
amount_usd,0.045370016291136746
amount_log,0.04491605731040374
distance_from_home_km,0.04423650701985653
cvv_retry_count,0.04374629421650196
balance_ratio,0.04372049600742068
customer_age,0.03747839214909119
card_age_months,0.03723830045830559
time_of_day_hour,0.03325141750777089
txn_count_last_24h,0.029776199793289913
day_of_week,0.02463376258354762
merchant_category_freq,0.022395694580514987
device_type_freq,0.019177606844385155
ip_country_mismatch,0.018271255888584415
billing_shipping_mismatch,0.018148424747952124
auth_method_No Authentication,0.016614344073676336
card_type_freq,0.014733282326885021
channel_freq,0.014731470419899135
prior_disputes,0.013961358883298103
new_high_risk_merchant,0.01284275659598137
used_vpn,0.012678177631226173
is_ai_generated_scam_attempt,0.012102893586626643
is_foreign_transaction,0.011938177782914406
high_velocity,0.010433714516783685
is_new_merchant,0.01026747522705965
is_night,0.009264938387626407
mismatch_pair,0.008236459872043819
has_prior_disputes,0.007731915781679609
card_type_Visa,0.007483259012985972
age_bucket_50-65,0.007144793459562099
device_type_Android Phone,0.007127807572664558
device_type_POS Terminal,0.006997138821509513
channel_Online,0.006947585285301671
is_weekend,0.006849379598069293
device_type_iPhone,0.006827270065786729
auth_method_3D Secure,0.006704163410266187
card_type_Mastercard,0.006427452412919381
high_merchant_risk,0.0064042493656936835
auth_method_OTP,0.006336086754726401
channel_POS,0.006117457312513227
age_bucket_>65,0.0060611412350056555
foreign_and_vpn,0.005901576907903277
merchant_category_Gaming,0.005634827253163337
card_type_Amex,0.005448027593785936
age_bucket_35-50,0.005440478919061811
merchant_category_Utilities,0.005286462935846909
channel_In-App,0.00501155288789868
channel_Contactless,0.004957281747528401
merchant_category_Electronics,0.004945747343872759
is_peak_hour,0.004814345828785678
age_bucket_25-35,0.004806215990488024
merchant_category_Groceries,0.004526848292991264
device_type_Mac,0.004392453634251945
auth_method_PIN,0.004329729532187783
channel_ATM,0.004231594387808868
age_bucket_<25,0.004090271804695606
auth_method_Biometric,0.003719073859666927
merchant_category_Restaurants,0.003698058007085945
merchant_category_Gift Cards,0.0036893495971825926
card_type_RuPay,0.0035758281365155737
merchant_category_Crypto Exchange,0.003463654392375796
card_type_Discover,0.003458825085098565
device_type_Windows PC,0.003371781168573648
device_type_Tablet,0.003368072448151607
merchant_category_Streaming,0.003243400915240029
merchant_category_Online Retail,0.003230870388417769
device_type_Smart Watch,0.0029227313399419782
merchant_category_Fuel,0.0027426991158441194
device_type_ATM Machine,0.0027077740733421523
high_amount,0.0025200822010332646
merchant_category_Healthcare,0.0023981711359285455
merchant_category_Travel,0.0021261790917759755
low_balance_flag,0.0010957447387856607
